Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
21002,2659,922,49,38,9999,0,1525,0,3682,5615,5,4,1574,525,2000,1,0,1,46,72,50,0,1,28,0,0,1440,1584,16171,2442,313,45,47,39,42,44,42,42,45,95,93,0,0,8875,1020,0,688,213,902,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,101,0,0,0
22001,2659,922,49,38,9999,0,1559,0,3682,5740,5,4,1478,525,2000,1,0,1,41,72,51,0,0,29,0,0,1440,1584,16454,2459,308,39,36,39,44,39,39,31,39,94,86,0,0,8875,1020,0,688,213,902,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,101,0,0,0
23002,2659,922,49,38,9999,0,1566,0,3682,5766,5,4,1478,525,2000,1,0,1,44,72,52,0,0,36,0,0,1440,1584,15420,2476,313,44,33,42,33,36,42,38,44,95,97,0,0,8875,1020,0,688,213,902,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,101,0,0,0
24002,2659,922,49,38,9999,0,1494,0,3682,5500,5,4,1478,525,2000,1,0,1,44,72,51,0,0,27,0,0,1440,1584,17777,2470,320,42,42,31,36,38,31,35,42,100,86,0,0,8875,1020,0,688,213,902,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,101,0,0,0
25002,2659,922,49,38,9999,0,1476,0,3677,5427,5,4,1478,525,2000,1,0,1,37,72,52,0,0,34,0,0,1440,1584,19627,2468,317,40,44,45,44,50,31,40,30,100,90,0,0,8875,1020,0,688,213,902,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,101,0,0,0
26002,2659,922,49,38,9999,0,1445,0,3677,5313,5,4,1478,525,2000,1,0,1,37,72,53,0,0,36,0,0,1440,1584,14322,2463,310,47,38,44,39,36,39,35,47,100,92,0,0,8875,1020,0,688,213,902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,101,0,0,0
27002,2659,922,49,38,9999,0,1730,0,3677,6361,5,4,1478,525,2000,1,0,1,41,72,52,0,0,32,0,0,1440,1584,20922,2496,326,36,42,38,36,40,33,36,35,95,94,0,0,8875,1020,0,688,213,902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,101,0,0,0
31024,2662,979,49,38,9999,0,1928,0,3625,6989,5,4,1478,525,2000,1,0,1,49,72,63,2,0,18,0,0,1440,1584,17072,2091,0,45,75,73,72,77,39,39,45,100,99,0,0,8936,1077,0,725,233,958,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
32000,2662,979,49,38,9999,0,1956,0,3625,7090,5,4,1478,525,2000,1,0,1,49,72,62,0,13,25,0,0,1440,1584,19265,2505,374,39,68,71,69,75,36,39,38,95,87,0,0,8936,1077,0,725,233,958,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,101,0,0,0
33000,2662,979,49,38,9999,0,1796,0,3625,6510,5,4,2246,525,2000,1,0,1,42,72,54,0,0,34,0,0,1440,1584,18547,2488,354,39,60,57,59,57,39,38,35,95,85,0,0,8936,1077,0,725,233,958,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,101,0,0,0
34000,2662,979,49,38,9999,0,1472,0,3625,5336,5,4,1478,525,2000,1,0,1,36,72,54,0,0,36,0,0,1440,1584,17634,2498,321,40,36,42,44,45,30,40,39,94,84,0,0,8936,1077,0,725,233,958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,101,0,0,0
35001,2662,979,49,38,9999,0,1484,0,3678,5458,5,4,1478,525,2000,1,0,1,36,72,53,0,0,36,0,0,1440,1584,18235,2501,328,43,36,39,36,45,43,38,33,95,84,0,0,8936,1077,0,725,233,958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,101,0,0,0
36002,2662,979,49,38,9999,0,1551,0,3674,5698,5,4,1478,525,2000,1,0,1,36,72,53,0,0,36,0,0,1440,1584,17334,2493,316,36,39,39,42,44,35,36,30,95,85,0,0,8936,1077,0,725,233,958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
37000,2662,979,49,38,9999,0,1491,0,3674,5477,5,4,1478,525,2000,1,0,1,36,72,53,0,0,36,0,0,1440,1584,16860,2488,325,43,54,55,57,57,43,26,35,95,84,0,0,8936,1077,0,725,233,958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,101,0,0,0
38000,2662,979,49,38,9999,0,1529,0,3674,5617,5,4,1478,525,2000,1,0,1,36,72,53,0,0,36,0,0,1440,1584,17633,2489,318,40,29,42,50,42,35,40,35,95,86,0,0,8936,1077,0,725,233,958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,101,0,0,0
39001,2662,979,49,38,9999,0,2134,0,3674,7840,3,4,1574,525,2000,1,0,1,36,72,53,0,0,36,0,0,1440,1584,23499,4046,325,80,100,100,100,100,77,75,80,100,94,0,0,8936,1077,0,725,233,958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,101,0,0,0
40002,2662,979,49,38,9999,0,1946,0,3674,7149,3,4,2419,525,2000,1,0,1,32,72,56,0,0,54,0,0,1440,1584,23660,4995,324,47,57,54,50,50,45,38,47,95,91,0,0,8936,1077,0,725,233,958,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,101,0,0,0
41002,2662,979,49,38,9999,0,1867,0,3674,6859,3,4,1478,525,2000,1,0,1,26,72,58,0,0,57,0,0,1440,1584,23518,4891,322,44,55,61,61,57,44,36,36,100,94,0,0,8936,1077,0,725,233,958,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,101,0,0,0
42003,2662,979,49,38,9999,0,2003,0,3674,7359,3,4,1478,525,2000,1,0,1,25,72,61,0,0,56,0,0,1440,1584,23571,4804,338,45,86,80,85,82,45,44,42,94,92,0,0,8936,1077,0,725,233,958,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,101,0,0,0
43002,2662,979,49,38,9999,0,2061,0,3674,7572,3,4,1478,525,2000,1,0,1,25,72,59,0,0,58,0,0,1440,1584,24445,4743,329,47,85,77,80,90,47,44,47,95,93,0,0,8936,1077,0,725,233,958,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,101,0,0,0
91000,2547,1028,48,40,9999,0,1671,0,3603,6020,5,4,1478,525,2000,1,0,1,35,72,66,0,17,49,0,0,1440,1584,16850,2372,324,33,50,47,57,63,33,31,22,94,99,0,0,8775,1126,0,804,202,1007,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,324,101,0,0,0
92000,2547,1028,48,40,9999,0,1636,0,3603,5894,5,4,1478,525,1804,1,0,1,41,72,56,0,1,32,0,0,1440,1584,20035,2394,323,27,43,27,38,35,27,27,19,95,93,0,0,8775,1126,0,804,202,1007,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,101,0,0,0
93000,2547,1028,48,40,9999,0,1496,0,3662,5478,5,4,1478,525,2000,1,0,1,37,72,55,0,0,39,0,0,1440,1584,18220,2404,318,33,39,38,40,45,33,31,26,100,87,0,0,8775,1126,0,804,202,1007,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,101,0,0,0
94001,2547,1028,47,40,9999,0,1608,0,3662,5888,5,4,1478,525,2000,1,0,1,46,72,52,0,0,34,0,0,1440,1584,13992,2379,315,50,44,45,45,39,50,45,39,94,98,0,0,8775,1126,0,804,202,1007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,101,0,0,0
95000,2547,1028,47,40,9999,0,1493,0,3663,5468,5,4,1478,525,1804,1,0,1,40,72,52,0,2,32,0,0,1440,1584,16932,2513,315,38,39,39,44,39,38,35,38,95,83,0,0,8775,1126,0,804,202,1007,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,101,0,0,0
96000,2547,1028,47,40,9999,0,1563,0,3663,5725,5,4,1478,525,2000,1,0,1,40,72,52,0,0,36,0,0,1440,1584,18753,2512,316,36,44,42,35,47,33,31,36,100,92,0,0,8775,1126,0,804,202,1007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
97000,2547,1028,47,40,9999,0,1527,0,3663,5593,5,4,1478,525,2000,1,0,1,38,72,53,0,0,34,0,0,1440,1584,13932,2477,330,52,39,36,36,42,44,47,52,100,90,0,0,8775,1126,0,804,202,1007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,101,0,0,0
98001,2547,1028,47,40,9999,0,1590,0,3663,5824,5,4,1862,525,2000,1,0,1,55,72,49,0,3,23,0,0,1440,1584,18787,2428,321,42,45,45,38,44,38,33,42,90,89,0,0,8775,1126,0,804,202,1007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,101,0,0,0
99001,2547,1028,47,40,9999,0,1565,0,3663,5732,5,4,1478,525,2000,1,0,1,37,72,52,1,0,37,0,0,1440,1584,16764,2481,324,40,42,45,42,42,40,39,40,94,83,0,0,8775,1126,0,804,202,1007,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,101,0,0,0
100000,2547,1028,47,40,9999,0,1514,0,3663,5545,5,4,1478,525,2000,1,0,1,48,72,50,0,1,31,0,0,1440,1584,15315,2442,321,44,45,47,35,42,42,44,35,95,94,0,0,8775,1126,0,804,202,1007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,101,0,0,0
101001,2547,1028,47,40,9999,0,1642,0,3651,5994,5,4,1478,525,2000,1,0,1,60,72,51,0,1,30,0,0,1440,1584,8959,2328,313,55,42,40,39,50,54,55,55,94,88,0,0,8775,1126,0,804,202,1007,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,101,0,0,0
