Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
21002,2625,900,62,37,9999,0,1482,0,3784,5607,3,4,1766,525,2000,1,0,1,68,72,47,0,13,4,0,0,1440,1584,11720,848,0,61,45,39,21,34,61,60,52,19,83,0,0,8887,1022,0,708,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
22003,2625,900,62,37,9999,0,1396,0,3784,5282,5,4,1766,525,1804,1,0,1,71,72,52,0,56,8,0,0,1440,1584,16337,880,0,50,28,27,26,31,50,47,47,19,98,0,0,8887,1022,0,708,168,877,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
23002,2625,900,62,37,9999,0,1591,0,3784,6020,5,4,1478,525,2000,1,0,1,57,72,56,0,8,21,0,0,1440,1584,17928,920,0,50,33,25,30,33,44,44,50,14,90,0,0,8887,1022,0,708,168,877,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
24002,2625,900,62,37,9999,0,1400,0,3784,5297,5,4,1574,525,2000,1,0,1,52,72,49,0,1,19,0,0,1440,1584,13545,854,0,64,35,27,30,26,63,64,47,14,98,0,0,8887,1022,0,708,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
25003,2625,900,62,37,9999,0,1536,0,3789,5819,5,4,1478,525,2000,1,0,1,66,72,52,0,33,13,0,0,1440,1584,16142,890,0,50,44,42,44,42,42,50,38,47,95,0,0,8887,1022,0,708,168,877,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
26002,2625,900,62,37,9999,0,1479,0,3789,5603,3,4,1862,525,2000,1,0,1,54,72,48,0,0,17,0,0,1440,1584,10035,820,0,57,39,26,36,33,47,52,57,19,83,0,0,8887,1022,0,708,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
27003,2625,900,62,37,9999,0,1557,0,3785,5893,5,4,1382,525,2000,1,0,1,72,72,51,0,43,1,0,0,1440,1584,18681,917,0,42,31,22,22,26,39,42,39,14,92,0,0,8887,1022,0,708,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
28003,2625,900,62,37,9999,0,1562,0,3776,5898,5,4,1574,525,2000,1,0,1,52,72,50,0,1,26,0,0,1440,1584,15201,898,0,52,36,30,30,30,52,39,47,15,98,0,0,8887,1022,0,708,168,877,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
29003,2625,900,62,37,9999,0,1482,0,3776,5596,3,4,1862,525,2000,1,0,1,62,72,47,0,1,13,0,0,1440,1584,12358,856,0,59,47,27,38,26,52,59,55,22,96,0,0,8887,1022,0,708,168,877,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
30003,2625,900,62,37,9999,0,1457,0,3776,5501,5,4,1766,525,2000,1,0,1,71,72,51,0,38,6,0,0,1440,1584,15440,871,0,50,33,35,40,30,50,42,47,23,98,0,0,8887,1022,0,708,168,877,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
31003,2625,900,62,37,9999,0,1475,0,3776,5569,5,4,1862,525,2000,1,0,1,57,72,48,0,2,21,0,0,1440,1584,9627,822,0,56,30,31,22,25,56,47,54,19,79,0,0,8887,1022,0,708,168,877,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
32003,2625,900,62,37,9999,0,1481,0,3776,5592,5,4,1382,525,1804,1,0,1,72,72,52,0,64,1,0,0,1440,1584,19406,887,0,47,25,22,27,26,42,47,42,14,94,0,0,8887,1022,0,708,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
33003,2625,900,62,37,9999,0,1527,0,3776,5765,5,4,1478,525,2000,1,0,1,52,72,52,0,1,28,0,0,1440,1584,17027,906,0,52,31,31,33,33,52,50,42,14,94,0,0,8887,1022,0,708,168,877,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
34003,2625,900,62,37,9999,0,1440,0,3785,5450,5,4,1670,525,2000,1,0,1,54,72,49,0,0,21,0,0,1440,1584,17503,866,0,38,33,30,33,30,35,38,36,10,88,0,0,8887,1022,0,708,168,877,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
35003,2625,900,62,37,9999,0,1532,0,3785,5798,5,4,1862,525,2000,1,0,1,62,72,52,0,28,16,0,0,1440,1584,15379,878,0,54,31,30,30,21,39,54,44,14,97,0,0,8887,1022,0,708,168,877,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
36004,2625,900,62,37,9999,0,1511,0,3785,5719,3,4,1574,525,2000,1,0,1,57,72,48,0,2,20,0,0,1440,1584,10061,816,0,59,39,44,47,44,47,50,59,14,87,0,0,8887,1022,0,708,168,877,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
37003,2625,900,62,37,9999,0,1467,0,3785,5552,5,4,1382,525,1804,1,0,1,71,72,51,0,42,6,0,0,1440,1584,17392,883,0,42,25,30,25,26,39,42,39,14,94,0,0,8887,1022,0,708,168,877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
38003,2625,900,62,37,9999,0,1514,0,3785,5730,5,4,1862,525,2000,1,0,1,54,72,48,0,2,23,0,0,1440,1584,15479,872,0,50,35,35,31,30,44,50,42,14,98,0,0,8887,1022,0,708,168,877,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
39023,2672,900,62,37,9999,0,1474,0,3785,5579,5,4,1862,525,2000,1,0,1,63,72,47,0,0,13,0,0,1440,1584,10942,842,0,60,31,31,33,30,60,52,52,15,92,0,0,8887,1022,0,709,168,877,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
40003,2672,900,62,37,9999,0,1499,0,3785,5673,5,4,1670,525,2000,1,0,1,69,72,53,0,38,8,0,0,1440,1584,14418,878,0,50,25,33,21,25,50,50,39,19,98,0,0,8887,1022,0,709,168,877,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
41003,2672,900,62,37,9999,0,1531,0,3785,5794,5,4,1574,525,2000,1,0,1,60,72,48,0,3,17,0,0,1440,1584,14165,869,0,57,25,40,22,30,57,47,54,14,96,0,0,8887,1022,0,709,168,877,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
42003,2672,900,62,37,9999,0,1514,0,3785,5730,3,4,1862,525,2000,1,0,1,67,72,48,0,14,6,0,0,1440,1584,10842,823,0,61,30,33,38,31,60,61,57,22,90,0,0,8887,1022,0,709,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
